Surname,ApproximateNumber,%Frequency,Rank,Percent,Cumulative_percent
AARON,19896,0.008,1457,0.0001171405980027528,0.0001171405980027528
AARONS,2487,0.001,16270,1.46425747503441e-05,0.0001317831727530969
AASEN,2487,0.001,18371,1.46425747503441e-05,0.000146425747503441
ABAD,2487,0.001,9370,1.46425747503441e-05,0.0001610683222537851
ABADIE,2487,0.001,15943,1.46425747503441e-05,0.0001757108970041292
ABARCA,2487,0.001,9369,1.46425747503441e-05,0.00019035347175447328
ABATE,2487,0.001,15286,1.46425747503441e-05,0.00020499604650481737
ABBAS,2487,0.001,18370,1.46425747503441e-05,0.00021963862125516146
ABBATE,2487,0.001,7560,1.46425747503441e-05,0.00023428119600550556
ABBEY,4974,0.002,6457,2.92851495006882e-05,0.00026356634550619377
ABBOTT,62175,0.025,463,0.0003660643687586025,0.0006296307142647963
ABDALLAH,2487,0.001,16661,1.46425747503441e-05,0.0006442732890151405
ABDO,2487,0.001,14430,1.46425747503441e-05,0.0006589158637654846
ABDUL,2487,0.001,16660,1.46425747503441e-05,0.0006735584385158288
ABDULLAH,4974,0.002,5684,2.92851495006882e-05,0.000702843588016517
ABE,2487,0.001,11422,1.46425747503441e-05,0.0007174861627668611
ABEL,17409,0.006999999999999999,1774,0.0001024980232524087,0.0008199841860192698
ABELS,2487,0.001,11755,1.46425747503441e-05,0.000834626760769614
ABERCROMBIE,4974,0.002,5593,2.92851495006882e-05,0.0008639119102703021
ABERNATHY,17409,0.006999999999999999,1685,0.0001024980232524087,0.0009664099335227108
ABERNETHY,2487,0.001,8681,1.46425747503441e-05,0.000981052508273055
ABEYTA,4974,0.002,5639,2.92851495006882e-05,0.0010103376577737433
ABLE,2487,0.001,12109,1.46425747503441e-05,0.0010249802325240874
ABLES,4974,0.002,5638,2.92851495006882e-05,0.0010542653820247757
ABRAHAM,19896,0.008,1557,0.0001171405980027528,0.0011714059800275285
ABRAHAMS,2487,0.001,12108,1.46425747503441e-05,0.0011860485547778726
ABRAHAMSON,2487,0.001,10821,1.46425747503441e-05,0.0012006911295282168
ABRAM,4974,0.002,5683,2.92851495006882e-05,0.001229976279028905
ABRAMOWITZ,2487,0.001,18369,1.46425747503441e-05,0.0012446188537792492
ABRAMS,22383,0.009000000000000001,1369,0.0001317831727530969,0.001376402026532346
ABRAMSON,4974,0.002,5637,2.92851495006882e-05,0.0014056871760330344
ABREGO,4974,0.002,7443,2.92851495006882e-05,0.0014349723255337227
ABRIL,2487,0.001,15604,1.46425747503441e-05,0.0014496149002840668
ABRON,2487,0.001,10684,1.46425747503441e-05,0.001464257475034411
ABSHER,2487,0.001,7559,1.46425747503441e-05,0.001478900049784755
ABSHIRE,2487,0.001,8151,1.46425747503441e-05,0.0014935426245350992
ABSTON,2487,0.001,11119,1.46425747503441e-05,0.0015081851992854434
ACEVEDO,32331,0.013000000000000001,896,0.0001903534717544733,0.0016985386710399166
ACEVES,2487,0.001,9068,1.46425747503441e-05,0.0017131812457902608
ACHENBACH,2487,0.001,18368,1.46425747503441e-05,0.001727823820540605
ACHESON,2487,0.001,13599,1.46425747503441e-05,0.001742466395290949
ACKERMAN,22383,0.009000000000000001,1401,0.0001317831727530969,0.001874249568044046
ACKERMANN,2487,0.001,12282,1.46425747503441e-05,0.0018888921427943901
ACKERSON,2487,0.001,12487,1.46425747503441e-05,0.0019035347175447343
ACKLES,2487,0.001,17904,1.46425747503441e-05,0.0019181772922950784
ACKLIN,2487,0.001,9608,1.46425747503441e-05,0.0019328198670454226
ACKMAN,2487,0.001,16659,1.46425747503441e-05,0.0019474624417957667
ACORD,2487,0.001,7783,1.46425747503441e-05,0.001962105016546111
ACOSTA,54714,0.022000000000000002,519,0.0003221366445075702,0.002284241661053681
ACREE,4974,0.002,5136,2.92851495006882e-05,0.0023135268105543695
ACRES,2487,0.001,18839,1.46425747503441e-05,0.0023281693853047136
ACTON,4974,0.002,6720,2.92851495006882e-05,0.002357454534805402
ACUFF,2487,0.001,9265,1.46425747503441e-05,0.002372097109555746
ADAIR,17409,0.006999999999999999,1843,0.0001024980232524087,0.0024745951328081547
ADAMCZYK,2487,0.001,13365,1.46425747503441e-05,0.002489237707558499
ADAMEK,2487,0.001,17072,1.46425747503441e-05,0.002503880282308843
ADAMES,4974,0.002,6994,2.92851495006882e-05,0.0025331654318095313
ADAMO,2487,0.001,10267,1.46425747503441e-05,0.0025478080065598754
ADAMS,432738,0.174,36,0.0025478080065598737,0.005095616013119749
ADAMSKI,2487,0.001,9751,1.46425747503441e-05,0.005110258587870093
ADAN,2487,0.001,13364,1.46425747503441e-05,0.005124901162620437
ADCOX,2487,0.001,15603,1.46425747503441e-05,0.0051395437373707815
ADDINGTON,4974,0.002,6413,2.92851495006882e-05,0.00516882888687147
ADDIS,2487,0.001,8012,1.46425747503441e-05,0.005183471461621814
ADDISON,17409,0.006999999999999999,1872,0.0001024980232524087,0.005285969484874223
ADDY,2487,0.001,13123,1.46425747503441e-05,0.005300612059624567
ADELMAN,2487,0.001,11118,1.46425747503441e-05,0.005315254634374911
ADELSON,2487,0.001,13873,1.46425747503441e-05,0.005329897209125255
ADEN,2487,0.001,15003,1.46425747503441e-05,0.0053445397838755996
ADERHOLT,2487,0.001,15285,1.46425747503441e-05,0.005359182358625944
ADGER,2487,0.001,17071,1.46425747503441e-05,0.005373824933376288
ADKINS,72123,0.028999999999999998,394,0.0004246346677599789,0.005798459601136266
ADKINSON,2487,0.001,8862,1.46425747503441e-05,0.0058131021758866105
ADKISON,2487,0.001,9873,1.46425747503441e-05,0.005827744750636955
ADKISSON,2487,0.001,8976,1.46425747503441e-05,0.005842387325387299
ADOLPH,2487,0.001,16658,1.46425747503441e-05,0.005857029900137643
ADORNO,4974,0.002,5720,2.92851495006882e-05,0.005886315049638331
ADRIAN,4974,0.002,5972,2.92851495006882e-05,0.0059156001991390195
AGAN,2487,0.001,10132,1.46425747503441e-05,0.005930242773889364
AGAR,2487,0.001,18367,1.46425747503441e-05,0.005944885348639708
AGARWAL,2487,0.001,17070,1.46425747503441e-05,0.005959527923390052
AGER,2487,0.001,16657,1.46425747503441e-05,0.005974170498140396
AGIN,2487,0.001,18366,1.46425747503441e-05,0.00598881307289074
AGOSTINI,2487,0.001,13122,1.46425747503441e-05,0.006003455647641084
AGOSTO,4974,0.002,6507,2.92851495006882e-05,0.006032740797141773
AGUERO,2487,0.001,8975,1.46425747503441e-05,0.006047383371892117
AGUILA,2487,0.001,9067,1.46425747503441e-05,0.006062025946642461
AGUILAR,74610,0.03,359,0.00043927724251032304,0.006501303189152784
AGUINALDO,2487,0.001,16269,1.46425747503441e-05,0.006515945763903128
AGUIRRE,34818,0.013999999999999999,833,0.0002049960465048174,0.006720941810407945
AGUON,2487,0.001,17478,1.46425747503441e-05,0.006735584385158289
AGUSTIN,2487,0.001,9480,1.46425747503441e-05,0.006750226959908633
AHART,2487,0.001,17477,1.46425747503441e-05,0.006764869534658977
AHEARN,2487,0.001,8011,1.46425747503441e-05,0.006779512109409322
AHL,2487,0.001,17903,1.46425747503441e-05,0.006794154684159666
AHLERS,2487,0.001,8511,1.46425747503441e-05,0.00680879725891001
AHLSTROM,2487,0.001,15942,1.46425747503441e-05,0.006823439833660354
AHN,4974,0.002,5353,2.92851495006882e-05,0.006852724983161042
AHNER,4974,0.002,7294,2.92851495006882e-05,0.006882010132661731
AHO,2487,0.001,8087,1.46425747503441e-05,0.006896652707412075
AHUMADA,2487,0.001,9479,1.46425747503441e-05,0.006911295282162419
AICHELE,2487,0.001,17902,1.46425747503441e-05,0.006925937856912763
AIKENS,4974,0.002,5245,2.92851495006882e-05,0.006955223006413451
